Date,inflation,core,food_inf,food,X0121,X0122,X0211,X0212,X0220,X0230,X0311,X0312,X0314,X0321,X0322,X0411,X0441,X0442,X0451,X0452,X0453,X0454,X0511,X0512,X0513,X0520,X0531,X0533,X0540,X0561,X0562,X0611,X0621,X0622,X0623,X0630,X0711,X0712,X0713,X0721,X0722,X0723,X0724,X0732,X0733,X0734,X0810,X0820,X0831,X0911,X0912,X0922,X0941,X0943,X1011,X1111,X1112,X1211,X1213,X1231,X1251,X1271,X1700,COP,PMS,BDC,MPR,CCPS
6/1/2010,14.09892444,12.68614752,15.05308256,109.99,105.55,105.31,103.74,96,103.27,105.16,105.23,110.91,116.33,106.29,88.43,108.91,110.16,109.73,94.68,104.9,96.5,103.84,111.65,96.46,82.34,105.26,106.62,90.08,112.06,110.82,71.93,110.26,107.49,105.61,111.47,108.94,68.15,100.88,86.36,108.52,109.74,100.63,80.27,106.16,89.65,71.44,104.13,99.59,101.92,103.37,93.05,98.63,100.81,104.12,106.55,89.92,105.81,109.4,80.59,106.6,104.3,111.1,109.55,75.79,65,153.8684,6,8668810.38
7/1/2010,13.00207312,11.28656823,14.04262734,111.61,106.44,105.62,103.5,100.9,104.98,105.08,104.56,113.24,118.05,106.92,84.94,109.36,109.03,117.13,94.9,106.87,93.85,104.59,112.36,96.23,82.83,104.88,102.72,92.85,111.05,107.17,77.05,110.11,112.57,100.66,113.14,109.8,68.41,99.44,83.55,114.18,109.83,96.07,75.64,105.91,91.73,69.79,103.6,99.59,102.57,103.22,92.83,99.04,93.78,102.8,105.71,82.84,105.33,108.61,77.55,107.36,102.63,113.42,109.29,77.18,65,152.4091,6,8578774.07
8/1/2010,13.70167802,12.3658504,15.09018146,113.82,107.74,106.46,104.76,118.52,104.27,107.87,106.33,119.43,121.55,107.52,85.84,111.79,106.25,118.88,94.43,107.24,99.76,102,115.63,95.91,82.75,104.27,103.63,89.55,111.59,109.14,77.22,110.55,114.74,109.29,116.32,109.65,68.73,99.56,87.48,114.7,111.44,96.52,73.62,107.91,91.99,74.26,104.47,99.59,100.83,103.89,98.72,102.31,94.31,105.72,106.02,83.5,107.64,109.73,80.92,106.91,107.61,112.88,111.21,78.67,65,152.2273,6,8717509.23
9/1/2010,13.64995009,12.83007506,14.5697166,113.53,108.41,107.11,104.94,95.31,101.9,106.34,109.17,114.78,124.03,109.83,88.77,114.52,105.83,118.62,94.74,103.56,104.36,106.49,117.94,100.07,84.8,108.42,104.33,87.22,115.31,109.84,79.07,114.11,110.81,98.33,111.35,114.98,68.85,100.6,81.96,119.23,114.48,100.29,76.18,115.85,89.63,70.08,104.92,99.59,102.3,106.35,97.29,99.88,92.47,107.23,108.36,89.05,107.16,113.19,84.62,106.99,100.77,111.33,113.56,79.45,65,153.85,6.25,8837198.68
10/1/2010,13.44965385,13.16808782,14.06506375,113.98,109.96,110.68,106.39,101.72,105.18,107.84,112.09,118.35,107.48,107.72,88.34,111.96,105.15,102.45,99.65,105.78,113.25,110.81,115.44,100.19,89.68,105,105.59,91.81,110.33,113.18,72.17,118.02,116.71,102.46,113.31,106.91,69.06,101.3,87.58,107.54,109.9,97.48,79.09,109.79,90.85,67.66,104.93,99.59,103.09,109.91,102.43,103.74,92.39,101.31,110.11,81.32,109.37,111.31,87.18,111.7,103.53,110.81,114.09,84.42,65,153.975,6.25,8971663.54
11/1/2010,12.76600373,11.74637446,14.35070507,114.35,110.47,110.15,107.94,102.81,104.28,108.82,109.79,115.42,110.16,109.37,90.19,113.07,110.94,104.51,98.64,106.82,113.87,108.86,117.06,101.68,84.82,104.09,103.86,88.03,112.74,112.36,77.69,114.57,110.69,90.84,108.89,108.43,69.14,101.69,86.74,114.74,115.71,100.33,79.9,112.4,91.24,70.05,102.91,99.59,102.93,107.78,94.88,103.1,91.59,102.28,107.69,85.03,109.46,113.71,87.86,109.61,101.84,112.85,115.09,86.71,65,153.125,6.25,9132343.45
12/1/2010,11.81532331,10.91681929,12.70063002,115.4,110.35,110.75,109.35,103.32,103.86,108.83,111.09,116.18,112.62,110.36,92.72,112.38,111.75,106.36,98.79,107.47,114.19,109.96,116.74,103.01,86.69,105.73,104.46,90.12,115.15,112.61,78.31,115.51,111.49,93.29,110.07,109.85,69.22,103.51,88.97,116.03,116.08,102.04,82.36,112.58,91.26,70.31,103.51,99.59,103.03,108.27,96.56,105.01,92.48,102.58,109.14,86.91,110.03,113.01,89.91,110.82,101.29,112.71,115.39,92.79,65,154.5714,6.25,7367600.12
1/1/2011,12.07966546,12.11773308,10.25504179,114.33,110.72,110.84,116.31,114.28,104.91,110.4,115.15,119.02,112.98,110.75,93.22,113.49,114.62,120.16,107.76,107.89,114.96,112.42,118.77,104.34,96.42,107.06,108.8,93.32,116.08,112.47,83.25,116.5,114.39,104.37,126.23,111.26,82.13,104.52,91.18,116.75,116.53,102.23,90.58,113.11,93.21,71.61,106.58,99.59,106.97,78.54,68.8,41.07,67.89,72.19,110.22,87.71,110.16,114.23,95.14,111.44,101.56,113.24,96.04,97.96,65,156.125,6.5,7081030.75
2/1/2011,11.09983663,10.56876111,12.22137798,117.65,111.82,111.44,116.63,114.69,97.75,109.12,112.66,119.6,113.51,111.96,93.85,114.13,115.01,124.12,108.06,108.44,115.62,113.04,118.36,105.54,97.91,108.03,109.32,96.6,117.42,113.45,85.22,117.57,115.18,105.73,127.46,112.43,85.74,105.34,92.25,117.29,117.37,102.94,91.6,113.8,93.7,72.23,107.76,99.59,107.38,104.86,97.83,117.82,94.17,101.88,110.59,95.75,111.86,114.72,95.18,111.95,101.92,112.58,124.02,106.57,65,155.1053,6.5,7009928.49
3/1/2011,12.77912837,12.81478493,12.16875775,118.12,112.13,112.07,117.37,115.29,102.42,107.95,113.2,118.93,113.82,111.83,93.97,114.45,115.81,124.41,108.37,108.62,116.72,112.74,118.6,106.23,97.24,106.92,109.28,96.39,117.78,113.68,85.3,118.57,115.85,106.42,127.78,112.49,86.51,105.95,92.46,118.29,117.53,103.4,91.65,114.01,93.74,72.22,107.67,99.59,107.42,105.52,97.72,119.16,93.81,103.58,111.04,95.77,112.46,114.83,95.6,112.29,102.52,114.04,119.42,116.56,65,157.087,7.5,7211338.25
