Rgr,Nogr,ARY,IRY,CGRY,SMRY,MRY,CRY,TRY,SRY,TTRY,ICRY,URY,AFRY,FRY,RRY,PRY,ASRY,PARY,ERY,HRY,AERY,ORY,EXR,SDR,MPR,CPD,CG,CPS,CCPS,COS,SD,TD,RR,ER,NFA,NDC,EXP,IMP
6.529590398,7.648904569,931268.83,2398786.61,2037889.28,5403.63,406045.15,176458.61,606915.06,1740715.50,54484.05,192843.92,26306.92,11351.15,309097.29,391046.05,236400.70,1854.07,282214.56,80069.07,41108.73,3380.72,108640.21,10787.50,4.90,16.50,2.41,25849.20,713552.10,690357.60,23194.50,225300.40,992229.70,97670.33,39008.11,1263238.00,739401.20,186697.45,68867.95
6.604553138,7.426457961,1098804.38,2267010.17,1849294.58,4879.61,407631.05,195157.32,667779.48,1801962.81,63986.91,207957.15,27333.16,8679.43,312584.86,440878.99,241860.01,2026.52,295657.33,75409.85,41943.81,3403.16,82822.07,10166.70,5.20,16.50,2.28,-69914.30,758574.60,729382.70,29191.90,228169.80,973389.40,115172.72,18435.84,1398377.70,688660.20,191279.44,68846.50
6.806115971,7.37970001,1519844.09,2423497.92,2002053.35,5607.15,427774.97,167064.48,680267.54,1788324.79,66896.30,189537.82,25481.91,11902.31,283456.67,470787.23,269055.06,2044.77,280326.24,90097.71,38719.24,3128.16,75947.15,10563.90,5.00,20.50,2.41,-27426.20,832559.70,810457.90,22101.80,228304.00,1042385.70,116993.50,33631.40,1440539.70,805133.50,162008.05,77173.55
6.705873398,6.855426359,1474624.80,2262565.65,1773742.66,6501.94,425036.97,193831.20,787376.13,2085286.65,72324.84,224644.01,28804.38,13254.94,297680.50,541105.03,287206.36,2016.32,325800.68,110257.41,40624.69,3352.05,118497.27,10267.10,5.00,20.50,2.30,-6006.53,854999.33,827122.87,27876.45,216509.40,977197.97,125512.89,16863.09,1347554.78,848992.80,122551.11,69145.01
14.75013315,24.10711241,1540845.18,2301210.46,1891727.24,5757.59,437006.53,183968.55,706906.25,1984708.30,64410.64,224806.49,30622.14,12008.88,396602.32,407550.70,254098.74,2012.74,341706.20,87466.37,42348.33,3802.40,128800.20,9546.10,8.51,20.50,1.96,111973.20,892872.40,871739.30,21133.10,246704.20,1107176.00,114350.20,158686.80,1326157.20,1004845.60,123138.88,82492.22
14.49333521,22.7865467,1735517.70,2207405.61,1756573.64,4592.41,444666.24,194343.89,735888.46,2031610.12,76649.35,237596.61,30291.81,9567.02,404309.08,449969.97,261100.73,2157.22,344449.73,84940.46,42263.81,3768.85,93733.68,8674.70,3.71,20.50,1.90,126572.80,939384.20,925343.20,14041.00,251978.70,1211962.70,121348.10,120522.30,1248916.90,1065957.00,152857.48,80719.65
14.57431374,24.89819714,2335541.97,2311420.74,1841491.89,5504.63,464967.34,175560.23,682958.60,2032361.20,79594.67,223625.99,29129.57,12792.04,366780.06,483416.13,284253.66,2167.20,329963.50,95630.87,38585.35,3692.50,89694.70,7424.00,4.40,18.50,2.16,211558.10,968625.50,944648.10,23977.40,262292.70,1298686.50,115273.70,141527.10,1191616.30,1180183.60,260240.90,76178.55
14.60647618,22.1225151,2205179.64,2241633.43,1735885.44,6324.19,467173.09,210455.84,794356.02,2345838.06,86344.33,260461.61,31793.53,13912.25,388996.98,558194.90,302133.17,2119.35,382208.83,115788.91,40499.33,3994.93,131708.83,7681.10,3.70,16.50,2.18,373639.20,955762.10,938271.20,17490.90,244064.10,1212552.30,107514.20,20891.70,1282215.50,1329401.30,256333.42,59866.41
9.243521512,3.64640802,1618456.47,2798219.26,2387426.23,5325.81,470561.51,200492.82,723554.33,1997862.23,66152.51,254563.87,34025.13,12673.60,360035.46,413067.91,262019.04,2040.70,329259.86,92495.42,41990.09,3975.89,125038.64,8226.16,5.30,16.50,2.22,430656.40,1024325.70,1010638.40,13687.30,293078.80,1550578.10,138856.60,36852.80,1346526.90,1454982.10,220087.43,202644.58
9.626878378,5.071963957,1858208.31,2632719.10,2149876.82,5166.81,469230.33,226733.77,776689.80,2075128.22,76963.75,275853.24,36034.96,9638.97,361946.68,469020.41,267727.42,2257.14,350675.63,86384.40,43025.50,3987.05,96845.48,7673.09,3.60,16.50,2.21,605045.70,1066036.80,1047582.90,18453.90,305768.80,1741804.90,162977.10,45766.60,1325852.20,1671082.50,225754.23,272087.15
